,Date,Tweets
45,2019-02-14 11:29:22,#Moneylaunderingcase: Deepak Talwar sent to 14-day judicial custody https://t.co/FYKJU5HsQ5 #Deepaktalwar #Moneylaundering #Judicalcustody #Vijaymallya #AirIndia
46,2019-02-14 11:17:10,"Air India Launches Twice-a-Week Flights From #Lucknow to Iraq’s #Najaf, Rajnath Singh Flags Off Inaugural Trip #AirIndia #Lucknow #RajnathSingh  https://t.co/zVynMNRKG1"
47,2019-02-14 10:46:02,"Home Minister #RajnathSingh flagging off the maiden #AirIndia flight to #Najaf (#Iraq) from #Lucknow today. Growing the bilateral relations, it fulfils the long-felt demand for air connectivity by pilgrims, professionals &amp; tourists in both countries.  #Travel #Tourism #ProTourism https://t.co/DbueYM2lqC"
48,2019-02-14 10:33:36,"#Lucknow: #AirIndia launches a twice-a-week flight between #Lucknow and #Najaf in #Iraq via Delhi from today. HM Rajnath Singh, UP Ministers Brajesh Pathak and Mohsin Raza and Shia Clerics Maulana Kalbe Jawwad and Maulana Yasoob Abbas were present at the event. https://t.co/z8Gaj2s7Fu"
49,2019-02-14 10:20:01,New flights between Delhi airport and Najaf airport operated by @airindiain with an #A320 #Neo VT-EXU Callsign: #AIC901  #A320neo #Airbus #AirIndia #avgeek #AI901 #AIC901 #Delhi https://t.co/P0b6yL99sP
50,2019-02-14 08:14:11,Cattle Class. Choked toilet overflows on Air India's London to Delhi flight  https://t.co/f6fWsqhPBj #AirIndia #Flight #London #Delhi #india
51,2019-02-14 07:05:47,Delighted To Hear That  #AshwaniLohani is back at @airindiain !! Excellent move by @narendramodi !! #AirIndia needs a complete overhaul in its top management and eager to see a glorious #Rebranding for the national carrier at the earliest @PMOIndia
52,2019-02-14 06:54:20,.@AshwaniLohani  returns to @airindiain  as chairman &amp; managing director  https://t.co/4dwZcEDqDK  #AirIndia #Aviation #India
53,2019-02-14 05:14:23,Irony of Air India #airindia #dgca #AirTravel #ministryofaviation #MoCA_GOI #AAI_official #AAI #UDAN #Jammu https://t.co/1d3GNCaHgp
54,2019-02-14 03:43:31,Former Railway Board chairman Ashwani Lohani has been appointed chairman and managing director (CMD) of Air India. His appointment was approved by the Appointments Committee of the Cabinet. This will be Lohani’s second tenure as Air India chief. #AirIndia #AshwaniLohani
55,2019-02-14 03:22:53,@uvr2002 @sribang @jetairways And will you choose the LCCs whose prices are these days more than Jet ?? With LCC grade service   Or #AirIndia maybe whose service standards are legendary ☺☺  Vistara is no alternative given its low inventory   What choices do you have ??
56,2019-02-14 03:01:12,"When you sit in d Rajokt bound flight &amp; captain says, sori v hav forgot some papers and make the flight 30mins late, then flight lands in AMD but announcement happens as we have landed in Rajkot. It’s 1:30 hrs late already.🤦🏻‍♂️ @airindiain @sureshpprabhu @ministry #airindia #ai497"
57,2019-02-14 02:10:05,"@OpIndia_com #Pappu was screaming and copy of the deal between #AirIndia and #AirBus.  Now the ED has exposed the kickbacks being paid to the middleman, i  think its time to establish the nexus between this middleman and all  those who got financially benefited from him."
58,2019-02-14 00:20:04,Former Railway Board chairman Ashwani Lohani has been appointed chairman and managing director (CMD) of Air India. His appointment was approved by the Appointments Committee of the Cabinet. This will be Lohani’s second tenure as Air India chief. #AirIndia #AshwaniLohani
59,2019-02-13 19:19:04,#AirIndia _delay again for more than an hour😑
60,2019-02-13 18:42:04,Why no flights to Prague (Most popular tourist destination in Europe ) #AirIndia
61,2019-02-13 17:45:02,"Ashwani Lohani, a retired bureaucrat, has been appointed the Chairman and Managing Director (CMD) of national carrier Air India, on Feb 13 #airindia #airline #aviation"
62,2019-02-13 17:25:44,"India’s National Carrier, @airindiain is resuming its flight operations to #Najaf, #Iraq . The inaugural #flight will be landing at the #Najaf International Airport from New Delhi on Thursday, February 14, 2019. #AirIndia"
63,2019-02-13 17:19:54,"Ashwani Lohani appointed as Air India CMD for the second time. Ashwani Lohani is a Retired IRSME officer, former Chairman of the Indian Railway Board.  #AirIndia #twotv #lohani https://t.co/z4lpmG4ifa"
64,2019-02-13 17:07:50,How do I get internship at Air India? https://t.co/jEBWLl4Hqx #Internship #AirIndia https://t.co/fZPOs5AJCK
65,2019-02-13 16:17:08,Lohani again given charge of debt-ridden Air India #AshwaniLohani #AirIndia #ChiefManagingDirector #AirIndiaCMD #IRSME  https://t.co/YpTtvBOZeu
66,2019-02-13 14:41:45,It was during Ashwani Lohani's tenure that #AirIndia made its first operating profit of Rs 105 crore in FY17 since the merger of Indian Airlines and Air India in 2007 https://t.co/Xf8ksdg1M8
67,2019-02-13 14:17:42,@Swamy39 What a great idea to bring back @AshwaniLohani as CMD #AirIndia by the PMO ! Time to save AI
68,2019-02-13 14:05:05,Ashwani Lohani appointed Air India CMD for second time  #AirIndia     #AshwaniLohani  For more updates Subscribe and Follow us on:  https://t.co/Pip2Tai4pb https://t.co/KcocVlzSZv https://t.co/BIGLeMIgA4
69,2019-02-13 13:30:17,"@BalooET @BMTC_BENGALURU @DrParameshwara @CMOKerala @hd_kumaraswamy @ashwinmahesh @dctsarige @nmenezesET @BBPVedike @mlanaharis @BPACofficial #bmtc pricing has no scientificbasis , no doubt commuters are increasingly switching to other cost effective modes and pax volumes on bmtc buses are increasingly on the downside for last 3 yrs. Eventually #bmtc cud become the #airIndia of Bengaluru ."
70,2019-02-13 13:21:17,The Appointment Committe of the Cabinet approves appointment of #AshwaniLohani to the post of CMD of #AirIndia . https://t.co/HBGnZDsIvG
71,2019-02-13 13:14:56,Ashwani Lohani posted as CMD Indian Airlines  https://t.co/9MhYqWiQLm  #AshiwiniLohani #IndianAirlines #IAS #bureaucracynews #AirIndia https://t.co/zepFNKE1N1
72,2019-02-13 13:07:13,"According to the Appointments Committee of the Cabinet (ACC) statement, Ashwani Lohani has been appointed to the post ""on contract basis"". . #AirIndia   https://t.co/NEGugouxfq"
73,2019-02-13 12:50:40,Cabinet Appoints Ex-Railway Board Chairman Ashwani Lohani as Chairman and MD Air India for Second Time https://t.co/T1HkVBCjxs #AirIndia #AshwaniLohani #CivilAviation
74,2019-02-13 12:41:06,Congratulations to #AshviniLohani for his post retirement job CMD of #AirIndia  on contract basis . He was supposed to get an extension as Chairman RailwayBoard which he could not manage . @indialegalmedia https://t.co/0s43JVWi9g
75,2019-02-13 12:32:03,"#AshwaniLohani, a retired #bureaucrat, has been appointed the Chairman and Managing Director (CMD) of national carrier #AirIndia .  Photo: IANS https://t.co/2KyoAzCSjO"
76,2019-02-13 12:29:44,Ashwani Lohani appointed for second tenure as #AirIndia CMD https://t.co/SZ3fBiHE4B https://t.co/Pt6OQHQUnL
77,2019-02-13 12:17:01,Dad's Retirement Celebration (31st Jan 2019)  More than 40 years of service  You deserve the rest now #retirementparty #goairlines #airindia #latepost @ GoAir@Mumbai https://t.co/m5EzvKnvja
78,2019-02-13 12:12:05,#capaindia so far no impact on the bottom line for #Amadeus on the withdrawal of #AirIndia in India. We have seen this story before in Saudi Arabia. The impact maybe negligible for now but someone needs to put their finger in this dyke.
79,2019-02-13 11:57:37,@JhaSanjay @RahulGandhi @priyankac19 @INCIndia @rssurjewala   #SAVE  #BSNL  Another #Govt company #BSNL  is about to shut down its operation  after #HAL conspiracy #AirIndia #AllIndiaRadio   So which one next????? #ONGC  Day by Day.. Inch by inch structure is dying  #RIP #INDIA
80,2019-02-13 11:56:25,"Appointment Committee of #Cabinet appoints #AshwaniLohani as #AirIndia (@airindiain) CMD on contract basis.   Alert - Former CMD, Pradeep Kharola, was moved to @MoCA_GoI as #Aviation secy early Feb.  @moneycontrolcom"
81,2019-02-13 11:56:11,#AirIndia - Cabinet approves appointment of Ashwani Lohani as the Chief Managing Director of Air India
82,2019-02-13 11:50:36,Cabinet approves appointment of Ashwani Lohani as the Chief Managing Director of #AirIndia.
83,2019-02-13 11:50:05,"@NeerajAmbuj Yes. We expect that a dynamic officer like him would once again turn around Air India.  But amidst the talk of privatisation of #AirIndia, it wud b interesting to see whether #Lohani succeeds in making the airline profitable."
84,2019-02-13 11:24:21,"#AirIndia Pathetic Approach,  Pathetic Services,  even after email and standing and waiting for a wheelchair, the same was not provided to senior citizens, I heard that this airline is worst, I realised this today.  Shame."
85,2019-02-13 10:56:53,Air India commences booking for Kannur flights @airindiain #AirIndia #AirIndiaExpress https://t.co/3T8OAGqhBI
86,2019-02-13 10:42:52,@ETNOWlive @jetairways @uttkarsh311090 WHY @PMOIndia BENT UPON PROMOTING #AIRTAXI 500 MORE AIRPORT IN MANY METROCITIES WHEN @jetairways #KINGFISCHER #AIRINDIA ALL SUFFERING LOSSES DEBTS PRUDENT BUSINESS POLICY TO EXPAND OUT OF PROFITS OF 1ST IGNORED WHILE NIL FUNDS FOR #SABARMATI @WFP FOOD4 ALL PANCHAYAT RAJ EMPOWERED
87,2019-02-13 10:42:39,WHY @PMOIndia BENT UPON PROMOTING #AIRTAXI 500 MORE AIRPORT IN MANY METROCITIES WHEN @jetairways #KINGFISCHER #AIRINDIA ALL SUFFERING LOSSES DEBTS PRUDENT BUSINESS POLICY TO EXPAND OUT OF PROFITS OF 1ST IGNORED WHILE NIL FUNDS FOR #SABARMATI @WFP FOOD4 ALL PANCHAYAT RAJ EMPOWERED https://t.co/mc7zF9rrjt
88,2019-02-13 09:00:00,"Union of #AirIndia decided that ‘if any pilot is victimised’ by management, it would go to any extent, including resorting to ‘strikes’.  #AirIndiaPilots https://t.co/CON2MnQrcc"
89,2019-02-13 08:06:15,"@KapilSibal #India has had to pay through the nose for #IndiraGandhi's nationalization of #AirIndia, the people of India are now Rs. 60,000 CRORES in debt! Whereas as a Private Airline AirIndia was a profitable concern."
90,2019-02-13 07:30:06,".@airindiain  debt: Govt may refinance three-fourth of airline’s Rs 29,000-crore debt  https://t.co/5ibEIR7h8I  @MoCA_GoI #AirIndia"
91,2019-02-13 06:30:05,"Govt to sell 100% stake in #AirIndia ground handling arm, invites EoI https://t.co/k5Jl03QEvB"
92,2019-02-13 05:02:24,"1971 Bangladesh War.  1. #AirIndia &amp; #IndianAirlines commercial flights put on hold, all pilots were asked to join IAF to do Cargo flights. 2. All pilots joined IAF duty except Rajiv Gandhi, who with Sonia, Priyanka &amp;Rahul went to Italy for duration of war.  #RajivGandhiWasCoward https://t.co/OsuKHfq9kU"
93,2019-02-13 04:57:35,Flight got delayed.....again..... What luck yaaaar...🤣🤣🤣 #flightdelayed #travel #delhitokashmir #lookingood #motherandson #anakmak #holiday #vacation #airindia https://t.co/bfz7i34Tlg
